GROUP_ID,DEFINITION_ID,INPUT_EXPRESSION,AGGREGATION,CONDITION,EXPRESSION
SELF_COMPILER,view02_dependency,view01_group_definition,,,
SELF_COMPILER,view03_output_definition,view01_group_definition,,,
SELF_COMPILER,view03_output_definition,view02_dependency,,,
SELF_COMPILER,view04_dependent_definition,view02_dependency,,,
SELF_COMPILER,view05_input_definition,view02_dependency,,,
SELF_COMPILER,view06_source_definition,view01_group_definition,,,
SELF_COMPILER,view06_source_definition,view02_dependency,,,
SELF_COMPILER,view07_internal_definition,view02_dependency,,,
SELF_COMPILER,view08_isolated_definition,view01_group_definition,,,
SELF_COMPILER,view08_isolated_definition,view04_dependent_definition,,,
SELF_COMPILER,view08_isolated_definition,view05_input_definition,,,
SELF_COMPILER,view09_dependency_count,view02_dependency,,,
SELF_COMPILER,view10_input_count,view02_dependency,,,
SELF_COMPILER,view11_leaf_dependency,view02_dependency,,,
SELF_COMPILER,view11_leaf_dependency,view06_source_definition,,,
SELF_COMPILER,view12_output_dependency,view02_dependency,,,
SELF_COMPILER,view12_output_dependency,view03_output_definition,,,
SELF_COMPILER,view13_internal_dependency,view02_dependency,,,
SELF_COMPILER,view13_internal_dependency,view07_internal_definition,,,
SELF_COMPILER,view14_boundary_definition,view06_source_definition,,,
SELF_COMPILER,view14_boundary_definition,view03_output_definition,,,
SELF_COMPILER,view15_definition_role,view01_group_definition,,,
SELF_COMPILER,view15_definition_role,view08_isolated_definition,,,
SELF_COMPILER,view15_definition_role,view07_internal_definition,,,
SELF_COMPILER,view15_definition_role,view06_source_definition,,,
SELF_COMPILER,view15_definition_role,view03_output_definition,,,
SELF_COMPILER,view16_group_role_count,view15_definition_role,,,
SELF_COMPILER,view17_group_boundary_count,view14_boundary_definition,,,
SELF_COMPILER,view18_group_dependency_count,view02_dependency,,,
SELF_COMPILER,view19_group_definition_count,view01_group_definition,,,
SELF_COMPILER,view20_group_density,view19_group_definition_count,,,
SELF_COMPILER,view20_group_density,view18_group_dependency_count,,,
SELF_COMPILER,view21_group_density_complete,view19_group_definition_count,,,
SELF_COMPILER,view21_group_density_complete,view18_group_dependency_count,,,
SELF_COMPILER,view22_group_complexity,view19_group_definition_count,,,
SELF_COMPILER,view22_group_complexity,view18_group_dependency_count,,,
SELF_COMPILER,view22_group_complexity,view16_group_role_count,,,
SELF_COMPILER,view23_group_shape,view22_group_complexity,,,
SELF_COMPILER,view24_group_shape_count,view23_group_shape,,,
SELF_COMPILER,view25_two_node_cycle,view02_dependency,,,
SELF_COMPILER,view26_self_cycle,view02_dependency,,,
SELF_COMPILER,view27_recursive_dependency,view02_dependency,,,
SELF_COMPILER,view28_cycle,view27_recursive_dependency,,,
SELF_COMPILER,view29_group_cycle,view28_cycle,,,
SELF_COMPILER,view31_group_validity,view29_group_cycle,,,
SELF_COMPILER,view32_compilable_group,view31_group_validity,,,
SELF_COMPILER,view33_compilable_definition,view01_group_definition,,,
SELF_COMPILER,view33_compilable_definition,view32_compilable_group,,,
SELF_COMPILER,view34_compilable_output_definition,view33_compilable_definition,,,
SELF_COMPILER,view34_compilable_output_definition,view03_output_definition,,,
SELF_COMPILER,view35_compiled_statement,view34_compilable_output_definition,,,
SELF_COMPILER,view36_compiled_statement_condition,view34_compilable_output_definition,,,
SELF_COMPILER,view37_compiled_statement_group_by,view34_compilable_output_definition,,,
SELF_COMPILER,view38_select_expression,view34_compilable_output_definition,,,
SELF_COMPILER,view39_select_clause,view34_compilable_output_definition,,,
SELF_COMPILER,view39_select_clause,view38_select_expression,,,
SELF_COMPILER,view40_from_clause,view34_compilable_output_definition,,,
SELF_COMPILER,view41_where_clause,view34_compilable_output_definition,,,
SELF_COMPILER,view42_group_by_clause,view34_compilable_output_definition,,,
SELF_COMPILER,view43_compiled_statement,view39_select_clause,,,
SELF_COMPILER,view43_compiled_statement,view40_from_clause,,,
SELF_COMPILER,view43_compiled_statement,view41_where_clause,,,
SELF_COMPILER,view43_compiled_statement,view42_group_by_clause,,,
SELF_COMPILER,view44_compiled_statement_export,view43_compiled_statement,,,
SELF_COMPILER,compiled_statement,view44_compiled_statement_export,,,
SELF_COMPILER,view46_compilation_result,compiled_statement,,,
SELF_COMPILER,view46_compilation_result,view31_group_validity,,,
SELF_COMPILER,view47_compilation_diagnostic,view46_compilation_result,,,
SELF_COMPILER,view48_group_compilation_status,view47_compilation_diagnostic,,,
SELF_COMPILER,view49_compilation_summary,view48_group_compilation_status,,,
SELF_COMPILER,view50_model_compilation_status,view49_compilation_summary,,,
